Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
C2	2	1	2	7	2.71911212665252E-02	
C2	2	2	12	243	2.22327719124301E-03	
C2	2	3	21	15	8.11795034784361E-02	
C2	2	4	22	68	0.776964646505493	
C2	2	5	23	441	0.372276729892624	
C2	2	6	26	345	0.793930858721717	
C2	2	7	50	445	0.227625827064848	
C2	2	8	55	170	0.205459313034362	
C2	2	9	59	241	6.64412512297016E-02	
C2	2	10	68	331	0.104828157505813	
C2	2	11	69	343	0.229757724351202	
C2	2	12	76	118	0.197425361533355	
C2	2	13	78	132	0.126326913684532	
C2	2	14	81	274	0.877609241526648	
C2	2	15	82	200	0.652440384677447	
C2	2	16	91	359	0.382068056819503	
C2	2	17	94	186	0.274577662890595	
C2	2	18	99	416	0.247400842949134	
C2	2	19	103	128	0.485543801173201	
C2	2	20	115	451	0.307825890600974	
C2	2	21	118	390	0.53360266077099	
C2	2	22	124	288	8.30571727123451E-03	
C2	2	23	134	222	3.53724156902014E-02	
C2	2	24	135	255	0.80666276561421	
C2	2	25	145	134	0.611322596526365	
C2	2	26	147	248	0.230324317300612	
C2	2	27	157	453	0.585949412710588	
C2	2	28	170	71	0.437835938025189	
C2	2	29	176	276	0.580038173190107	
C2	2	30	188	123	0.140162317200036	
C2	2	31	195	84	5.84467783293663E-02	
C2	2	32	197	419	0.932682614298832	
C2	2	33	198	35	0.576906496529724	
C2	2	34	199	20	1.37188056218196	
C2	2	35	202	276	2.67660652001471E-02	
C2	2	36	217	458	0.12429132185135	
C2	2	37	218	151	0.125417525886986	
C2	2	38	219	194	0.319272697425095	
C2	2	39	221	299	0.233225241313813	
C2	2	40	232	204	1.04350767966283	
C2	2	41	261	352	0.224637686864191	
C2	2	42	262	474	0.452645994326519	
C2	2	43	266	60	0.349608641987591	
C2	2	44	266	284	0.58393598219868	
C2	2	45	269	130	0.272824618885063	
C2	2	46	270	163	0.843808076554027	
C2	2	47	278	153	1.28315753069341	
C2	2	48	284	210	0.195231438511132	
C2	2	49	284	401	0.243155987201551	
C2	2	50	293	338	1.35918452232865	
C2	2	51	296	239	2.30886791384137E-03	
C2	2	52	298	434	0.546030713832702	
C2	2	53	308	61	0.139830970121707	
C2	2	54	317	13	0.144930804997386	
C2	2	55	326	93	0.325096551368372	
C2	2	56	329	450	0.377820357349805	
C2	2	57	335	242	0.454886870763482	
C2	2	58	339	367	0.540910887011434	
C2	2	59	352	58	0.430450918568812	
C2	2	60	355	94	8.01102257079925E-03	
C2	2	61	355	399	2.15269153212345E-02	
C2	2	62	360	28	6.57131529564275E-02	
C2	2	63	364	313	0.306381450213943	
C2	2	64	368	205	1.05686204830191	
C2	2	65	373	265	0.33652516506947	
C2	2	66	378	454	0.206016971956238	
C2	2	67	383	136	0.61211867374711	
C2	2	68	395	409	0.274378961679752	
C2	2	69	405	473	0.715147081539189	
C2	2	70	409	199	8.99155243325949E-02	
C2	2	71	411	118	0.453162513645552	
C2	2	72	417	312	0.168078386539872	
C2	2	73	428	15	0.127778970567182	
C2	2	74	430	468	0.170889581848152	
C2	2	75	431	336	1.41940244617063E-03	
C2	2	76	432	217	0.956329369693215	
C2	2	77	439	369	0.656772533529067	
C2	2	78	445	274	1.59425342365306	
C2	2	79	470	322	0.263727105112848	
C2	2	80	473	257	0.361584345704328	
C2	2	81	473	299	0.276583075203237	
C2	2	82	474	59	0.941825722476708	
C2	2	83	484	264	0.269420612493541	
C2	2	84	489	58	0	
C2	2	85	504	398	0	
C2	3	1	5	255	9.82212351063164E-02	
C2	3	2	10	399	1.1639555371934	
C2	3	3	16	81	5.42184041598422E-02	
C2	3	4	31	398	0.495415842123418	
C2	3	5	33	278	0.22235176400168	
C2	3	6	35	97	0.014738349750141	
