Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
C2	1	1	2	348	0.280957187763447	
C2	1	2	7	60	0.778881667897579	
C2	1	3	9	166	0.298288945899522	
C2	1	4	14	478	0.731771769645187	
C2	1	5	25	392	1.21314634156648	
C2	1	6	26	449	3.63573013313208E-02	
C2	1	7	44	235	0.535571765390103	
C2	1	8	47	53	0.42181580993954	
C2	1	9	51	74	0.18294370727879	
C2	1	10	53	480	1.73073155412095	
C2	1	11	54	117	1.00825622334938	
C2	1	12	59	29	0.135694190607224	
C2	1	13	62	253	0.687811898802812	
C2	1	14	72	309	0.15195617908601	
C2	1	15	80	137	1.92908895834159	
C2	1	16	82	380	1.25097519587634	
C2	1	17	92	414	0.230715272741587	
C2	1	18	109	108	0.702435886857044	
C2	1	19	109	242	1.07540547907864	
C2	1	20	112	343	0.814151467101843	
C2	1	21	115	13	0.556640009655058	
C2	1	22	118	145	0.371818165371405	
C2	1	23	122	277	6.38509102204528E-02	
C2	1	24	125	120	1.11879314603402	
C2	1	25	136	140	1.11739750875668	
C2	1	26	136	303	0.585400959955881	
C2	1	27	152	241	1.28175058214015	
C2	1	28	155	427	0.628247253464287	
C2	1	29	157	209	2.69788451042969E-03	
C2	1	30	161	6	0.469422311513032	
C2	1	31	162	189	0.522979469630613	
C2	1	32	164	320	0.753767801309378	
C2	1	33	179	390	0.927382476678251	
C2	1	34	182	454	0.528551469648127	
C2	1	35	190	88	0.388454110042667	
C2	1	36	190	266	0.244051782577882	
C2	1	37	192	21	1.2874135167995	
C2	1	38	193	121	0.140267238092504	
C2	1	39	193	137	0	
C2	1	40	199	54	3.54053634160599E-02	
C2	1	41	203	143	0	
C2	1	42	203	200	3.72962033536307E-02	
C2	1	43	209	309	0.65419653309893	
C2	1	44	210	219	0.265927770859278	
C2	1	45	220	377	0.12157993223082	
C2	1	46	224	454	0.312807754948304	
C2	1	47	234	97	0.534780752583968	
C2	1	48	236	7	0.164192605356367	
C2	1	49	236	132	0.336675308293094	
C2	1	50	245	263	4.77809933711817E-02	
C2	1	51	245	405	0.454652686262033	
C2	1	52	253	170	6.40508900411611E-02	
C2	1	53	255	163	0	
C2	1	54	263	206	0	
C2	1	55	264	84	0.18277735828043	
C2	1	56	265	58	0.133748958058734	
C2	1	57	265	451	9.23583340566879E-03	
C2	1	58	275	333	4.95996515796174E-02	
C2	1	59	278	190	0.166824694622672	
C2	1	60	288	84	0.572027563958823	
C2	1	61	300	164	1.17134262295754	
C2	1	62	312	28	0.301346421080347	
C2	1	63	325	464	0.175520152348008	
C2	1	64	326	116	0.760875928344116	
C2	1	65	333	275	0.897489110395128	
C2	1	66	341	315	0.860384061210177	
C2	1	67	345	53	1.14329624013596	
C2	1	68	350	437	0.093989845545607	
C2	1	69	355	259	0.173689171311822	
C2	1	70	361	250	0.769466537342386	
C2	1	71	365	133	0.340848807606696	
C2	1	72	365	424	0.223760300220698	
C2	1	73	377	321	0.910905167166827	
C2	1	74	380	72	0.837315083210375	
C2	1	75	386	355	0	
C2	1	76	387	245	3.73481017003456E-03	
C2	1	77	393	382	0	
C2	1	78	406	244	4.32699737289445E-03	
C2	1	79	409	72	0.16592931550757	
C2	1	80	409	225	1.26042638197104E-02	
C2	1	81	416	117	4.92158838665939E-02	
C2	1	82	420	201	0.985671007730343	
C2	1	83	425	255	0.831467791672428	
C2	1	84	429	310	0.411378495949361	
C2	1	85	436	480	1.34347638306514	
C2	1	86	437	75	3.30305532617671E-03	
C2	1	87	443	177	0.134259367138989	
C2	1	88	446	332	0.482025201336157	
C2	1	89	456	410	5.61744439182517E-02	
C2	1	90	461	35	0.583266170332307	
C2	1	91	464	126	0.583666097144252	
C2	1	92	465	143	0.233652771663675	
C2	1	93	480	218	0.383791016756206	
C2	1	94	483	83	0	
C2	2	1	8	434	1.17376253341564	
C2	2	2	11	106	0.710675225395653	
C2	2	3	18	165	1.57880027718997	
C2	2	4	18	296	0.569473105890843	
C2	2	5	26	71	2.35008743724262E-02	
C2	2	6	29	460	0.269154323032511	
C2	2	7	35	232	0.358135682695153	
C2	2	8	35	304	0.193862871895863	
C2	2	9	35	448	0.885857001321004	
C2	2	10	41	181	0.370701099553116	
C2	2	11	50	53	0.784588511311158	
C2	2	12	53	21	1.48853511598722	
C2	2	13	63	141	0.517360153480602	
C2	2	14	68	439	3.73493503156848E-02	
C2	2	15	70	410	2.31040939923044E-02	
C2	2	16	71	341	0.633514185329477	
C2	2	17	73	46	0.866653310155444	
C2	2	18	88	311	0.694453855168837	
C2	2	19	91	271	0.22044721051966	
C2	2	20	97	393	4.22275267938219E-02	
C2	2	21	99	358	1.56465457113848	
C2	2	22	102	344	0.712473782223267	
C2	2	23	110	47	1.07413699570499	
C2	2	24	111	194	0.65108196501447	
C2	2	25	114	448	0.400868938572703	
C2	2	26	115	80	2.01520096855506	
C2	2	27	126	356	0.160374156742643	
C2	2	28	128	390	0.107057961303292	
C2	2	29	139	268	0.08463895271917	
C2	2	30	140	30	0.638051437926046	
C2	2	31	143	255	0	
C2	2	32	147	426	0.392009222466744	
C2	2	33	147	439	0.719154227948551	
C2	2	34	157	252	8.24190907575713E-02	
C2	2	35	162	99	0.795304830598046	
C2	2	36	170	44	0.509680950566391	
C2	2	37	175	33	0.717350715712929	
C2	2	38	179	462	1.00971859191226	
C2	2	39	181	265	0.955940996994375	
C2	2	40	182	479	9.94773566699658E-02	
C2	2	41	184	373	0.459032352783722	
C2	2	42	187	35	0	
C2	2	43	190	415	0	
C2	2	44	197	308	0.84250071363519	
C2	2	45	207	436	0.410123320141981	
C2	2	46	211	411	0.919599755858472	
C2	2	47	215	28	0.440964767553881	
C2	2	48	215	70	0.241018411101871	
C2	2	49	222	227	0.684975881795055	
C2	2	50	228	374	0	
C2	2	51	230	301	0.229314517156176	
C2	2	52	231	346	0.137458182304985	
C2	2	53	233	319	0	
C2	2	54	233	486	0.281259586094522	
C2	2	55	236	378	1.14449045115947	
C2	2	56	238	85	0.903488595856204	
C2	2	57	243	298	0	
C2	2	58	244	319	0.909893875878668	
C2	2	59	253	99	0.682640566430654	
C2	2	60	263	30	3.63499024841206E-02	
C2	2	61	264	313	9.13472380336528E-02	
C2	2	62	265	148	0.143220302090143	
C2	2	63	285	67	0.456150914119174	
C2	2	64	285	135	0.841474316857491	
C2	2	65	288	354	0.100106185629714	
C2	2	66	291	392	0.428479507805989	
C2	2	67	293	480	0.717165050842454	
C2	2	68	294	210	0.619988768055967	
C2	2	69	298	410	1.15030349572779	
C2	2	70	301	273	0.20240375650523	
C2	2	71	310	52	0.819172786405276	
C2	2	72	313	272	0.146875488965652	
C2	2	73	313	289	0	
C2	2	74	316	300	0.971323779342293	
C2	2	75	331	164	1.30603105960429	
C2	2	76	331	352	0.227364613950899	
C2	2	77	334	71	0	
C2	2	78	349	103	0.639863640410763	
C2	2	79	350	358	0.294549565680387	
C2	2	80	360	432	0.703406741401855	
C2	2	81	362	224	0.379643367327241	
C2	2	82	362	363	0.604408421377472	
C2	2	83	363	314	6.65653882420969E-02	
C2	2	84	368	89	0.652117052146697	
