Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
C2	1	1	3	417	0.865785667583647	
C2	1	2	17	99	0.536826268057897	
C2	1	3	19	210	4.62827859896946E-02	
C2	1	4	20	28	1.53918546298281	
C2	1	5	20	301	0.75815437097146	
C2	1	6	21	135	1.35587578090607	
C2	1	7	32	383	0.12824482291973	
C2	1	8	38	448	1.38850521507481	
C2	1	9	42	238	0.930306180665162	
C2	1	10	46	3	7.19598480156209E-02	
C2	1	11	59	449	1.13041344926379	
C2	1	12	63	422	0.289037123471819	
C2	1	13	69	304	0.526616138296036	
C2	1	14	69	462	0.210359806020556	
C2	1	15	81	109	0.865790563904275	
C2	1	16	84	202	1.06632643225967	
C2	1	17	88	354	0.318100683454052	
C2	1	18	95	400	2.27316665166779	
C2	1	19	98	13	1.61140743219364	
C2	1	20	102	336	1.25168696848413	
C2	1	21	108	60	0.615066260092241	
C2	1	22	113	404	0.868593077784804	
C2	1	23	117	149	1.47117851739365	
C2	1	24	126	379	1.52438004815736	
C2	1	25	127	403	1.05936243880301	
C2	1	26	130	283	0.206326747887759	
C2	1	27	133	236	1.27298325240828	
C2	1	28	134	437	0.906905426194011	
C2	1	29	147	313	0.168338518251629	
C2	1	30	149	91	1.5994571352479	
C2	1	31	161	204	0.5085978775271	
C2	1	32	162	155	1.9836867862969	
C2	1	33	168	351	1.6252648510866	
C2	1	34	172	435	0.193494225440515	
C2	1	35	179	293	1.9070935906679	
C2	1	36	183	3	1.90380948651032	
C2	1	37	191	429	1.21456460881096	
C2	1	38	194	369	0.124860922030163	
C2	1	39	201	393	0.202657284501256	
C2	1	40	210	253	0	
C2	1	41	215	226	1.20167330936939	
C2	1	42	217	455	0.463630770498573	
C2	1	43	219	156	1.17003531943555	
C2	1	44	219	304	0.653327419226301	
C2	1	45	222	245	1.43668055426476	
C2	1	46	226	403	0.892888846201437	
C2	1	47	232	61	1.26006249724327	
C2	1	48	251	427	5.23564441809706E-02	
C2	1	49	254	226	0.999952110418539	
C2	1	50	254	468	0.86399859111522	
C2	1	51	255	14	0.898304432854182	
C2	1	52	269	56	0.776252899640696	
C2	1	53	269	300	1.43636797382319	
C2	1	54	281	143	0.241863506804917	
C2	1	55	283	439	0.392696433427676	
C2	1	56	284	480	0.766259857092256	
C2	1	57	292	366	0.01316780698224	
C2	1	58	294	9	0.669747171627872	
C2	1	59	294	310	0.299978839538625	
C2	1	60	309	128	0.829129503402114	
C2	1	61	311	228	3.18556255854946E-04	
C2	1	62	315	444	0.632633421390573	
C2	1	63	321	363	1.30847476667182	
C2	1	64	328	284	3.14018303368599E-02	
C2	1	65	333	114	0.417947582302395	
C2	1	66	333	206	9.90119013056865E-02	
C2	1	67	334	247	0.152695785118994	
C2	1	68	343	4	0.168621264690379	
C2	1	69	344	423	2.04372849604517	
C2	1	70	351	278	0.860439819251609	
C2	1	71	354	37	0.671944766576352	
C2	1	72	356	184	1.18544518272144	
C2	1	73	372	367	0.943309587139323	
C2	1	74	375	447	8.44800827728919E-02	
C2	1	75	379	96	0.534762534624111	
C2	1	76	380	51	0.19676438934091	
C2	1	77	380	479	0.916452907129703	
C2	1	78	385	222	0	
C2	1	79	393	330	0.23660818103351	
C2	1	80	408	440	0.969714267728087	
C2	1	81	415	187	0.951087852061769	
C2	1	82	418	141	0.206149949888611	
C2	1	83	429	30	0.306288941913739	
C2	1	84	435	206	1.55833561733388	
C2	1	85	438	403	0.412434394338982	
C2	1	86	449	353	0.483631990102568	
C2	1	87	450	316	0.830751612712316	
C2	1	88	455	79	0.634404985597197	
C2	1	89	457	447	1.5171324109175	
C2	1	90	459	16	1.33595630495143	
C2	1	91	459	330	0.36314842088038	
C2	1	92	468	418	0.782182451844945	
C2	1	93	469	130	1.59205453970541	
C2	1	94	477	75	0.417370815691759	
C2	2	1	4	491	0.643191975023572	
C2	2	2	8	375	0.125495301267226	
C2	2	3	12	85	1.02213891599004	
C2	2	4	17	307	0.729584280865775	
C2	2	5	27	8	2.79403422854197	
C2	2	6	27	60	2.86912805405232E-02	
C2	2	7	29	418	1.15423824837113	
C2	2	8	37	380	0.465247610773241	
C2	2	9	46	280	0.154572008307006	
C2	2	10	47	58	0.727325033999372	
C2	2	11	47	84	2.69510628073157E-02	
C2	2	12	47	267	0.551812727257804	
C2	2	13	48	452	0.355953184696373	
C2	2	14	50	208	1.10963169607739	
C2	2	15	56	57	1.07065923321303	
C2	2	16	56	188	0.926433049053004	
C2	2	17	59	330	1.2795744616317	
C2	2	18	63	128	0.462455880678584	
C2	2	19	67	201	1.10984636437146	
C2	2	20	74	122	0.492358714464861	
C2	2	21	81	458	0.568616140912379	
C2	2	22	85	260	1.445345902562	
C2	2	23	86	433	0.596968217199467	
C2	2	24	94	39	0.662988897866356	
C2	2	25	97	211	1.71454785752515	
C2	2	26	97	292	0.547849379918971	
C2	2	27	98	94	0.520613442272743	
C2	2	28	99	197	0.677346965686782	
C2	2	29	100	426	5.02072952721464E-02	
C2	2	30	105	315	0.899861073259698	
C2	2	31	112	395	0.75832759978119	
C2	2	32	119	365	0.516272267859523	
C2	2	33	123	112	0.222621738934811	
C2	2	34	124	181	1.03305200925371	
C2	2	35	132	80	1.58754683535876	
C2	2	36	137	461	0.616782533090033	
C2	2	37	138	340	4.37177824649869E-02	
C2	2	38	139	401	0.376961743061133	
C2	2	39	140	238	0.575862342822451	
C2	2	40	154	177	0.672199345479425	
C2	2	41	159	88	0.476779214277086	
C2	2	42	161	168	0.607995570321152	
C2	2	43	163	320	1.38412967022716	
C2	2	44	166	408	1.26605452264172	
C2	2	45	168	422	1.40401537414288	
C2	2	46	174	259	1.02998430871243	
C2	2	47	176	243	0.847683312457138	
C2	2	48	181	203	0.215409849796429	
C2	2	49	182	468	0.446543143028802	
C2	2	50	185	301	1.00941260171639	
C2	2	51	190	3	0	
C2	2	52	199	54	1.07902758848561	
C2	2	53	202	395	0.194302343429565	
C2	2	54	206	160	0.361804020574821	
C2	2	55	207	218	1.40510385679515	
C2	2	56	209	439	0.898718544474168	
C2	2	57	216	16	1.16043987113307	
C2	2	58	217	372	1.19279058319762	
C2	2	59	221	353	2.96571693288422E-02	
C2	2	60	224	383	0.747624499141385	
C2	2	61	229	122	0.874452501687428	
C2	2	62	235	477	1.03511329284968	
C2	2	63	237	303	0.42161026059773	
C2	2	64	239	408	1.13566316629208	
C2	2	65	245	182	1.76915719176889	
C2	2	66	245	417	1.11440949935815	
C2	2	67	248	65	0.943756353424634	
C2	2	68	251	437	0.730727068891073	
