n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.5627,36.0083,63.9917,56.9437,43.4495,1173,2732,66795,118704,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
2,GFP.tif,0.468,31.8798,68.1202,44,29.2766,913,2932,40172,85839,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
3,GFP.tif,0.5963,37.3565,62.6435,60.4731,38.3981,1245,3288,75289,126253,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
4,GFP.tif,0.4509,31.0775,68.9225,56.946,34.6167,981,3579,55864,123893,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
5,GFP.tif,0.7204,41.8732,58.1268,75.9456,62.29,2608,4414,198066,274948,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
6,GFP.tif,0.5866,36.9713,63.0287,60.6634,39.9596,823,2130,49926,85114,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
7,GFP.tif,0.5509,35.5211,64.4789,60.5369,57.7089,1315,2504,79606,144503,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
8,GFP.tif,0.6493,39.3677,60.6323,77.172,44.1246,1198,3227,92452,142390,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
9,GFP.tif,0.5836,36.8541,63.1459,74.9069,50.4264,1139,2899,85319,146186,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
10,GFP.tif,0.5835,36.8469,63.1531,86.6,61.9391,1090,2612,94394,161785,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
11,GFP.tif,0.8531,46.0371,53.9629,80.4027,48.0637,817,1602,65689,76998,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
12,GFP.tif,0.5964,37.3586,62.6414,74.0315,50.3148,730,1801,54043,90617,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
13,GFP.tif,0.4551,31.2742,68.7258,60.6687,42.4253,1165,3661,70679,155319,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
14,GFP.tif,0.6735,40.2464,59.7536,63.7395,47.0628,1482,2980,94462,140247,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
15,GFP.tif,0.7448,42.6879,57.3121,67.5234,52.896,982,1683,66308,89024,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
16,GFP.tif,0.5453,35.2884,64.7116,83.0201,59.0433,994,2563,82522,151328,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
17,GFP.tif,0.5969,37.3806,62.6194,48.6129,27.7418,868,2548,42196,70686,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
18,GFP.tif,0.7555,43.0355,56.9645,72.8032,46.2463,752,1567,54748,72468,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
19,GFP.tif,0.7828,43.9081,56.0919,70.1207,38.3767,1185,2766,83093,106150,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
20,GFP.tif,0.8823,46.8748,53.1252,54.0135,34.2588,1187,2121,64114,72663,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
21,GFP.tif,0.5627,36.0085,63.9915,70.2513,32.8872,780,2961,54796,97379,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
22,GFP.tif,0.6536,39.5256,60.4744,65.2243,41.5473,1351,3245,88118,134821,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
23,GFP.tif,0.8237,45.1655,54.8345,63.044,51.7682,1001,1480,63107,76617,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
24,GFP.tif,0.9089,47.6143,52.3857,71.5774,61.9051,1176,1496,84175,92610,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
25,GFP.tif,0.7278,42.1224,57.8776,65.2485,42.3713,1320,2793,86128,118343,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
26,GFP.tif,0.6833,40.5941,59.4059,81.3336,58.1021,1133,2321,92151,134855,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
27,GFP.tif,1.0036,50.0891,49.9109,67.0506,63.7194,989,1037,66313,66077,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
28,GFP.tif,0.5383,34.9941,65.0059,67.6627,51.52,1094,2669,74023,137507,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
29,GFP.tif,1.064,51.55,48.45,63.5145,68.8207,1003,870,63705,59874,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
30,GFP.tif,0.4946,33.0911,66.9089,89.478,61.3232,885,2611,79188,160115,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
31,GFP.tif,0.5327,34.7554,65.2446,90.2644,64.7297,1180,3089,106512,199950,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
32,GFP.tif,0.5306,34.666,65.334,61.0322,70.0386,931,1529,56821,107089,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
33,GFP.tif,0.8572,46.1553,53.8447,84.6787,47.2222,968,2025,81969,95625,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
34,GFP.tif,0.8209,45.0828,54.9172,71.3218,65.8791,985,1299,70252,85577,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
35,GFP.tif,0.8129,44.8405,55.1595,71.3271,57.5898,1125,1714,80243,98709,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
36,GFP.tif,0.3549,26.1939,73.8061,93.3424,60.1519,1066,4661,99503,280368,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
37,GFP.tif,0.7892,44.1091,55.8909,90.9611,71.8901,925,1483,84139,106613,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/2h 5/
