Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
A2	1	1	3	289	1.12837121820234	
A2	1	2	15	431	1.0108855206617	
A2	1	3	18	478	0.677086922346611	
A2	1	4	27	238	2.04874671651541	
A2	1	5	31	350	0.984453876081155	
A2	1	6	34	392	1.4869648037824	
A2	1	7	37	42	1.07447838872665	
A2	1	8	48	178	0.479240188691477	
A2	1	9	64	301	1.45878373775168	
A2	1	10	76	229	1.36034521745685	
A2	1	11	82	118	0.965178491021856	
A2	1	12	95	456	0.810658276706508	
A2	1	13	99	276	1.252085698582	
A2	1	14	101	321	1.66933140210755	
A2	1	15	102	408	0.753258922505426	
A2	1	16	106	207	0.697218995710746	
A2	1	17	114	29	0.764730364903881	
A2	1	18	140	306	0.994049524915	
A2	1	19	148	123	1.23240635069	
A2	1	20	153	27	0.430113448355756	
A2	1	21	157	170	0.996714484426462	
A2	1	22	166	220	0.623702763014824	
A2	1	23	175	265	1.05754487754934	
A2	1	24	178	66	1.55253607660313	
A2	1	25	180	452	0.545257471224816	
A2	1	26	214	341	1.57332671078453	
A2	1	27	218	169	0.791875833093206	
A2	1	28	222	22	1.0218620513298	
A2	1	29	224	78	0.978551176081566	
A2	1	30	229	272	1.1705999458613	
A2	1	31	240	391	1.39256363325885	
A2	1	32	247	429	0.478564644296443	
A2	1	33	258	263	0.301959286305023	
A2	1	34	263	285	0.353197486193106	
A2	1	35	273	155	1.12376624527911	
A2	1	36	282	196	1.22951759617886	
A2	1	37	289	338	0.903994229702168	
A2	1	38	295	469	0.962934363038895	
A2	1	39	297	190	1.26335696604706	
A2	1	40	304	242	0.487507229459751	
A2	1	41	314	30	0.840447750750489	
A2	1	42	327	317	1.41529260277674	
A2	1	43	334	15	0.400656815251787	
A2	1	44	343	134	0.666287959621826	
A2	1	45	347	95	0.87221895682658	
A2	1	46	350	363	0.753417388693766	
A2	1	47	359	186	1.22601497534212	
A2	1	48	362	466	0.892313919701807	
A2	1	49	363	257	0.934597233060749	
A2	1	50	397	373	0.984325069690457	
A2	1	51	406	427	0.807732120805412	
A2	1	52	417	295	1.22441829776312	
A2	1	53	427	87	0.646857956223524	
A2	1	54	434	182	1.2705389336771	
A2	1	55	451	178	1.1141435098754	
A2	1	56	451	230	1.14609855377117	
A2	1	57	465	91	1.30350667764879	
A2	1	58	469	324	0.948093114797311	
A2	1	59	471	40	1.77862908308763	
A2	2	1	4	318	1.21331301110883	
A2	2	2	16	213	0.886980072721946	
A2	2	3	24	108	0.042600750636248	
A2	2	4	27	418	1.31896299737368	
A2	2	5	29	167	0.591982845574906	
A2	2	6	33	147	0	
A2	2	7	35	137	0	
A2	2	8	38	457	0.48153630241451	
A2	2	9	47	285	1.24072626797632	
A2	2	10	82	424	1.56328577942805	
A2	2	11	87	242	0.737396665039959	
A2	2	12	106	66	0.650440947849515	
A2	2	13	108	352	0.550567082723015	
A2	2	14	133	353	0.392490405192692	
A2	2	15	136	204	1.30378169686802	
A2	2	16	137	280	0.711964903349454	
A2	2	17	139	137	1.02270530215407	
A2	2	18	154	420	0.38865494878978	
A2	2	19	170	290	1.19197267930491	
A2	2	20	185	379	1.23137237398565	
A2	2	21	188	113	1.51043364597051	
A2	2	22	193	472	1.20118771462226	
A2	2	23	199	23	0.820833403183167	
A2	2	24	202	219	1.16736202666426	
A2	2	25	213	287	1.08624787253609	
A2	2	26	237	47	1.01208120649854	
A2	2	27	249	460	0.714470876385049	
A2	2	28	249	476	0.953028774882667	
A2	2	29	257	306	0.917588684627192	
A2	2	30	257	383	0.84904235339018	
A2	2	31	263	398	0.547788904643743	
A2	2	32	284	85	0.469785403163268	
A2	2	33	287	437	1.12978782349897	
A2	2	34	294	419	1.40626284537656	
A2	2	35	301	10	1.39062578095051	
A2	2	36	305	244	1.81923104996168	
A2	2	37	307	49	1.27629321957791	
A2	2	38	309	328	1.82957332452036	
A2	2	39	319	15	1.18124019303076	
A2	2	40	340	59	0	
A2	2	41	354	60	0	
A2	2	42	355	275	1.33555844801282	
A2	2	43	361	91	0.88100509961648	
A2	2	44	368	395	1.38464399360358	
A2	2	45	372	179	0.804161259224385	
A2	2	46	395	20	0.930004775201709	
A2	2	47	405	263	2.08161038051963	
A2	2	48	443	100	0.934221999107608	
A2	2	49	452	16	0.745578095530074	
A2	3	1	2	5	1.9200151815737	
A2	3	2	2	269	1.19990166611497	
A2	3	3	17	457	1.45685458527045	
A2	3	4	38	178	1.19342298943181	
A2	3	5	39	248	0.814265356667427	
A2	3	6	42	118	1.42402125222789	
A2	3	7	61	473	0.560532727806673	
A2	3	8	64	147	1.77596889890175	
A2	3	9	81	407	0.583214622947602	
A2	3	10	86	314	1.39371876135576	
A2	3	11	89	47	1.21530640373877	
A2	3	12	101	85	0.895590111642743	
A2	3	13	121	140	1.1069532554125	
A2	3	14	125	407	1.15833313784249	
A2	3	15	126	382	1.530875797864	
A2	3	16	129	262	1.12077364445859	
A2	3	17	146	462	1.29059462698316	
A2	3	18	165	244	1.14098540252558	
A2	3	19	180	73	1.35200404660151	
A2	3	20	189	123	1.48198903727291	
A2	3	21	194	35	0.119543053873446	
A2	3	22	194	336	0.19830480872593	
A2	3	23	208	390	1.46935595893257	
A2	3	24	210	425	2.05443709004585	
A2	3	25	216	182	1.44660964277782	
A2	3	26	226	287	0.986436355001275	
A2	3	27	244	135	0.626761772215065	
A2	3	28	246	91	0.852780264842853	
A2	3	29	255	249	1.95376847271648	
A2	3	30	256	3	1.35533233512931	
A2	3	31	263	378	0.648054172490103	
A2	3	32	274	213	1.90631853211583	
A2	3	33	282	153	1.09305216235909	
A2	3	34	288	242	0.583584897375592	
A2	3	35	294	7	1.15905026040952	
A2	3	36	311	270	4.76933580415488E-02	
A2	3	37	312	450	1.26424063937924	
A2	3	38	316	346	1.46275869359707	
A2	3	39	329	182	1.62494524293692	
A2	3	40	334	286	1.23416979843845	
A2	3	41	335	377	0.583326139603567	
A2	3	42	344	37	1.69029922448167	
A2	3	43	356	130	1.64891251998158	
A2	3	44	370	379	0.635153753919254	
A2	3	45	380	447	0.918314301358744	
A2	3	46	389	65	1.43744846760689	
A2	3	47	389	378	0.76898318363247	
A2	3	48	390	221	1.26537220380176	
A2	3	49	406	279	1.47249494513753	
A2	3	50	418	123	1.88080035026713	
A2	3	51	433	354	1.05234838284898	
A2	3	52	442	175	0.836332974913986	
A2	3	53	446	462	1.15170253690996	
A2	3	54	450	236	0.303938260177587	
A2	3	55	454	273	0.819819365891141	
A2	3	56	458	285	1.01642425244184	
A2	3	57	467	79	1.30200571276335	
A2	3	58	475	211	0.11462106664339	
A2	4	1	6	281	1.97168755449572	
A2	4	2	19	36	0.848122421635344	
A2	4	3	32	243	0.743786794519879	
A2	4	4	40	420	1.88260962134829	
A2	4	5	41	94	0.864884981021226	
A2	4	6	43	131	1.12578054054038	
A2	4	7	46	263	1.11464341874507	
A2	4	8	63	130	0	
A2	4	9	69	129	0.713900862068966	
A2	4	10	78	322	1.56228990511024	
A2	4	11	88	465	0.944266580883667	
A2	4	12	111	217	1.01914690163913	
A2	4	13	117	430	1.17277723320593	
A2	4	14	131	71	0.873213194527194	
A2	4	15	134	342	1.35661333876802	
A2	4	16	138	289	1.48562652313279	
A2	4	17	170	199	0.277226674834446	
A2	4	18	174	385	1.02998271154853	
A2	4	19	192	318	1.1840251087268	
A2	4	20	194	159	0.912735994201432	
A2	4	21	196	458	1.25696247284159	
A2	4	22	209	45	1.80104716633872	
A2	4	23	209	225	1.45158425821045	
A2	4	24	232	299	1.42993790893556	
A2	4	25	241	116	0.621913262103857	
A2	4	26	250	377	1.04035734554051	
A2	4	27	259	179	1.12125721864263	
A2	4	28	269	44	1.52555282934982	
A2	4	29	271	308	0.314986861861862	
A2	4	30	276	242	1.34087419158608	
A2	4	31	280	464	0.586508939078346	
A2	4	32	303	349	1.07249057151146	
A2	4	33	303	429	1.46998892449906	
A2	4	34	311	86	1.04478102714811	
A2	4	35	320	140	1.18917534588541	
A2	4	36	324	383	0.833651288218918	
A2	4	37	342	420	1.5448070415232	
A2	4	38	348	36	0.778668483532066	
A2	4	39	388	103	0.361769888638245	
A2	4	40	389	8	1.29224199411061	
A2	4	41	400	393	1.30375653223025	
A2	4	42	418	280	1.53878062595111	
A2	4	43	439	97	0.873013596808849	
A2	4	44	471	352	1.18875027819751	
A2	4	45	474	374	1.04837765293576	
A2	4	46	475	302	1.39886894704302	
A2	5	1	13	395	0.485005942578657	
A2	5	2	19	199	1.21746071221379	
A2	5	3	26	66	1.11346888974632	
