Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
A2	1	1	8	114	5.83686276478893E-02	
A2	1	2	28	350	1.95648251169981	
A2	1	3	39	376	0	
A2	1	4	42	96	1.00081694777715	
A2	1	5	43	212	1.42972607883225	
A2	1	6	57	331	1.54069243399008	
A2	1	7	71	235	1.63925807259734	
A2	1	8	74	332	1.39327323526036	
A2	1	9	91	286	1.4932499092806	
A2	1	10	97	445	1.74060296878875	
A2	1	11	107	475	1.18679882399252	
A2	1	12	110	466	1.05927533607179	
A2	1	13	111	57	1.32412768546231	
A2	1	14	127	443	1.54969652916448	
A2	1	15	145	269	1.10987014138191	
A2	1	16	163	200	1.04688350966475	
A2	1	17	164	318	1.69556383695901	
A2	1	18	169	217	1.03594276252658	
A2	1	19	172	376	1.36419599573219	
A2	1	20	174	22	1.58480576034082	
A2	1	21	184	265	1.78155403957753	
A2	1	22	188	321	1.41393854187588	
A2	1	23	200	320	1.40295922793501	
A2	1	24	205	154	1.47091788344916	
A2	1	25	214	475	1.72286872470754	
A2	1	26	218	242	2.65574874185399	
A2	1	27	231	61	0.879809740544664	
A2	1	28	233	81	0.864336295566241	
A2	1	29	245	302	0.794204747172689	
A2	1	30	253	414	0.909186903666529	
A2	1	31	264	313	1.44134247355004	
A2	1	32	276	321	1.1578808134992	
A2	1	33	277	98	1.08359919422463	
A2	1	34	291	215	0.179514300959009	
A2	1	35	295	10	1.4620048316212	
A2	1	36	296	153	0.717075557307515	
A2	1	37	299	450	0.698014111614406	
A2	1	38	300	418	0.705803402910789	
A2	1	39	304	66	0.874641820096366	
A2	1	40	332	371	1.28668726093518	
A2	1	41	339	452	0.413793274200437	
A2	1	42	361	431	1.16084364463697	
A2	1	43	370	189	1.16220635204779	
A2	1	44	376	31	1.22754505508912	
A2	1	45	385	299	1.59694272011025	
A2	1	46	386	317	1.55708255783036	
A2	1	47	404	416	1.04899568237282	
A2	1	48	411	200	1.1491785816963	
A2	1	49	419	351	0.86323907315498	
A2	1	50	424	111	1.05454101474863	
A2	1	51	424	304	1.63905028311389	
A2	1	52	434	225	1.67140854484089	
A2	1	53	441	2	1.46761669405522	
A2	1	54	444	301	1.642392140933	
A2	1	55	449	421	1.51029442016621	
A2	1	56	459	132	1.69580217481656	
A2	1	57	464	31	1.43495604662432	
A2	1	58	475	463	1.54392528832197	
A2	2	1	28	114	0.351367692599063	
A2	2	2	29	357	1.72877622255719	
A2	2	3	31	195	0.67717127762379	
A2	2	4	37	44	1.12529924255376	
A2	2	5	46	206	1.41548000147183	
A2	2	6	46	287	0.888715011458989	
A2	2	7	55	230	1.49209381301072	
A2	2	8	58	328	0.550337166945568	
A2	2	9	61	176	0.206440434244783	
A2	2	10	65	238	1.59319210983025	
A2	2	11	77	52	0.554299579991538	
A2	2	12	94	165	0.230837867485605	
A2	2	13	116	309	1.08221618811477	
A2	2	14	118	410	0.820861312393206	
A2	2	15	123	472	1.83315986806378	
A2	2	16	129	383	2.18900715812959	
A2	2	17	143	131	1.37362518143023	
A2	2	18	144	5	0.91394020628581	
A2	2	19	172	185	1.6704003220868	
A2	2	20	174	355	1.09487293375179	
A2	2	21	176	112	1.52845094191616	
A2	2	22	184	61	0.826639595711702	
A2	2	23	193	185	1.50994049006568	
A2	2	24	204	438	1.89638539972203	
A2	2	25	214	348	1.23576933142621	
A2	2	26	224	108	1.30852804303078	
A2	2	27	237	385	1.30607533591125	
A2	2	28	278	46	1.40066067400858	
A2	2	29	279	280	1.17377945284107	
A2	2	30	279	424	1.68357971565457	
A2	2	31	289	205	1.37211564819209	
A2	2	32	302	472	1.75020607119928	
A2	2	33	307	67	1.58427512023153	
A2	2	34	312	299	1.10646365465434	
A2	2	35	332	108	1.99022773228164	
A2	2	36	356	31	1.18592374829672	
A2	2	37	414	312	1.07896295806502	
A2	2	38	436	241	1.25942050823452	
A2	2	39	454	111	1.97287861934783	
A2	2	40	474	151	0.391045245790766	
A2	2	41	485	407	1.72278292027471	
A2	2	42	488	484	1.44565686762996	
A2	3	1	4	184	1.03182188398154	
A2	3	2	6	164	1.04533162110288	
A2	3	3	15	340	1.9592975861165	
A2	3	4	19	13	1.14158223625657	
A2	3	5	23	388	1.69421562187597	
A2	3	6	36	73	1.39214944887695	
A2	3	7	67	368	0.998614316833871	
A2	3	8	68	24	1.14646067906084	
A2	3	9	70	383	1.33117380420163	
A2	3	10	74	11	1.19904463352739	
A2	3	11	90	64	2.07582619274304	
A2	3	12	112	426	1.46681261648883	
A2	3	13	136	149	1.41494499997983	
A2	3	14	139	27	1.48563259748507	
A2	3	15	148	380	1.74152740902702	
A2	3	16	174	200	2.02432401480253	
A2	3	17	176	343	1.89750556294035	
A2	3	18	179	436	1.09814927364958	
A2	3	19	189	109	1.09334849823509	
A2	3	20	193	33	1.95998649924488	
A2	3	21	194	257	1.45449707690001	
A2	3	22	195	434	1.33317023445464	
A2	3	23	196	250	0	
A2	3	24	199	231	0.944342326053089	
A2	3	25	204	293	1.72266660190697	
A2	3	26	207	377	1.70647327791651	
A2	3	27	220	170	1.00139222805554	
A2	3	28	221	152	0.819760535161108	
A2	3	29	222	319	0	
A2	3	30	228	329	0	
A2	3	31	240	423	0.938554467674552	
A2	3	32	254	472	1.1871535750149	
A2	3	33	255	259	0.622918085388797	
A2	3	34	261	118	1.37612738159541	
A2	3	35	277	304	0.591536089519145	
A2	3	36	278	36	0.953684068917964	
A2	3	37	283	177	1.76302019767957	
A2	3	38	285	360	1.34554958218006	
A2	3	39	291	325	1.41767341544539	
A2	3	40	296	219	1.07378555451622	
A2	3	41	302	394	0.681028823004273	
A2	3	42	304	250	2.18578915962208	
A2	3	43	321	3	1.45523452611219	
A2	3	44	334	100	0.460684631183371	
A2	3	45	340	151	0.50539592243132	
A2	3	46	343	215	0.423954227341702	
A2	3	47	352	476	1.40038919860986	
A2	3	48	353	323	1.50274426065635	
A2	3	49	355	414	1.12305653312933	
A2	3	50	359	274	0.657909000487728	
A2	3	51	360	348	1.21085628103773	
A2	3	52	372	63	0.997917155761947	
A2	3	53	372	226	1.44304052257795	
A2	3	54	382	416	0.635708351967132	
A2	3	55	384	231	1.60297478873373	
A2	3	56	396	66	1.41744818346599	
A2	3	57	397	20	6.08676146448983E-03	
A2	3	58	398	214	0.920199388337016	
A2	3	59	422	127	1.14266029924832	
A2	3	60	423	403	1.45534745065931	
A2	3	61	424	173	0.411802900081483	
A2	3	62	425	280	1.37087514779188	
A2	3	63	438	201	1.37288910209453	
A2	3	64	439	324	1.09294671280277	
A2	3	65	441	468	3.15415606446141E-02	
A2	3	66	448	57	1.19390811953205	
A2	3	67	457	399	0.680173823658729	
A2	3	68	469	58	1.00770694155643	
A2	3	69	475	251	1.82106172044165	
A2	4	1	11	341	0.76107411182908	
A2	4	2	20	382	0.807733973541569	
A2	4	3	56	264	1.35043403326608	
A2	4	4	61	360	2.0255249886784	
A2	4	5	81	185	0.130990379926409	
A2	4	6	82	157	0.682552750335407	
A2	4	7	82	179	0	
A2	4	8	85	28	1.51550195449668	
A2	4	9	103	443	1.93949452605894	
A2	4	10	116	146	1.19334588579836	
A2	4	11	122	282	1.66959336078125	
A2	4	12	135	231	1.41445799321442	
A2	4	13	143	62	1.34357239799751	
A2	4	14	148	2	1.53447478110188	
A2	4	15	155	227	1.26684348426583	
A2	4	16	168	338	1.65930766893409	
A2	4	17	184	231	1.55482479316613	
A2	4	18	200	10	1.6318848135651	
A2	4	19	208	301	1.33034865322119	
A2	4	20	214	169	1.20613259922648	
A2	4	21	217	47	0.974938067533151	
A2	4	22	218	125	0.811716759215452	
A2	4	23	234	468	0.932858910891089	
A2	4	24	243	330	1.26001935168874	
A2	4	25	248	428	1.34197771537925	
A2	4	26	257	243	1.14603743538905	
A2	4	27	274	95	1.62455166538957	
A2	4	28	275	381	0.889450747705338	
A2	4	29	292	235	1.65899158523344	
A2	4	30	301	69	0.53809365184876	
A2	4	31	313	195	0.724606719751408	
A2	4	32	328	309	0.605501847128245	
A2	4	33	336	126	1.0294351930549	
A2	4	34	342	86	1.07976964023168	
A2	4	35	350	334	0.94567718059681	
A2	4	36	357	197	0.692586461455863	
A2	4	37	360	389	1.76831114640041	
A2	4	38	376	250	1.63818266200251	
A2	4	39	379	391	1.62479858057493	
A2	4	40	393	321	2.06802203595387	
A2	4	41	406	456	1.09004518051607	
A2	4	42	407	178	1.45901715540862	
A2	4	43	410	158	1.19500746677592	
A2	4	44	437	46	1.87795080756092	
A2	4	45	452	115	0.974327313187782	
A2	5	1	17	223	2.64858511615102	
A2	5	2	29	101	1.42717799894978	
A2	5	3	45	314	1.43419005070027	
A2	5	4	51	166	0.966328633660357	
A2	5	5	56	221	1.22861293914784	
A2	5	6	79	330	1.75432161469835	
A2	5	7	84	186	0.598749177090191	
A2	5	8	87	22	1.67460864195177	
A2	5	9	93	358	0	
A2	5	10	112	320	0.756673718772969	
A2	5	11	116	261	1.77497020703243	
A2	5	12	121	94	1.44833698830409	
A2	5	13	122	109	0.618964183835182	
A2	5	14	126	119	1.06044215277786	
A2	5	15	145	361	1.26701707383254	
A2	5	16	148	323	0.627309960465123	
A2	5	17	153	60	2.66126807638087	
A2	5	18	169	107	0.953075886902298	
A2	5	19	169	189	1.28653165086181	
A2	5	20	174	390	0.916507420061441	
A2	5	21	188	186	1.14181663192294	
A2	5	22	192	341	1.4842875383299	
A2	5	23	194	141	1.57905792447567	
A2	5	24	195	270	1.60772400411706	
A2	5	25	212	57	0.821416945031584	
A2	5	26	216	426	1.78952994610338	
A2	5	27	232	350	1.89669441058911	
A2	5	28	237	120	1.43961980030117	
A2	5	29	241	253	1.04174559972563	
A2	5	30	246	473	2.53802398732967	
A2	5	31	255	316	0.960012952812713	
A2	5	32	259	183	0.798437649812945	
A2	5	33	263	64	1.21820599942666	
A2	5	34	278	204	1.29074766268543	
A2	5	35	285	363	2.01568041058159	
A2	5	36	290	42	1.55289933746527	
A2	5	37	292	334	0	
A2	5	38	300	330	1.12004003397339	
A2	5	39	314	248	1.07074917472397	
A2	5	40	319	154	1.4755574302872	
A2	5	41	334	49	1.3071192129481	
A2	5	42	345	162	1.1021818616894	
A2	5	43	347	410	1.66541460045725	
A2	5	44	358	195	0.748973798706645	
A2	5	45	362	141	0.840455453863098	
A2	5	46	385	30	1.57373474148535	
