n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.313,23.8402,76.1598,38.1928,51.3649,1380,3278,52706,168374,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
2,GFP.tif,0.2449,19.6721,80.3279,29.7029,33.9437,1865,6664,55396,226201,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
3,GFP.tif,0.5093,33.7459,66.2541,38.481,51.8047,2258,3293,86890,170593,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
4,GFP.tif,0.3458,25.6965,74.3035,84.5145,86.4644,1244,3516,105136,304009,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
5,GFP.tif,0.4086,29.0091,70.9909,23.3015,29.1799,2096,4096,48840,119521,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
6,GFP.tif,0.5887,37.054,62.946000000000005,57.178999999999995,55.9204,1346,2338,76963,130742,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
7,GFP.tif,0.2831,22.0642,77.9358,22.5031,22.4923,1429,5050,32157,113586,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
8,GFP.tif,0.1628,14.0015,85.9985,11.991,20.9101,1329,4681,15936,97880,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
9,GFP.tif,0.3968,28.4067,71.5933,24.076,24.5333,1724,4264,41507,104610,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
10,GFP.tif,0.4108,29.1196,70.8804,40.7244,49.4709,1063,2130,43290,105373,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
11,GFP.tif,0.3225,24.3868,75.6132,41.8995,39.4075,1672,5512,70056,217214,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
12,GFP.tif,0.3475,25.7893,74.2107,28.8151,25.2782,1763,5783,50801,146184,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
13,GFP.tif,0.4026,28.7058,71.2942,42.8004,34.8319,2259,6894,96686,240131,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
14,GFP.tif,0.3225,24.3835,75.6165,16.8644,24.4151,1246,2669,21013,65164,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
15,GFP.tif,0.3254,24.5498,75.4502,47.2799,46.0013,1436,4536,67894,208662,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
16,GFP.tif,0.541,35.1082,64.8918,36.2572,37.2279,1431,2576,51884,95899,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
17,GFP.tif,0.5278,34.5479,65.4521,114.1271,132.5327,1031,1682,117665,222920,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
18,GFP.tif,0.4799,32.4279,67.5721,48.9123,57.5583,1060,1877,51847,108037,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
19,GFP.tif,0.4896,32.8669,67.1331,16.7005,19.8588,1332,2288,22245,45437,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
20,GFP.tif,0.775,43.661,56.339,21.7303,15.3438,1646,3008,35768,46154,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
21,GFP.tif,0.4634,31.6643,68.3357,18.7789,28.0015,1348,1951,25314,54631,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
1,GFP.tif,0.2413,19.4407,80.5593,26.1575,23.6259,1206,5533,31546,130722,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
2,GFP.tif,0.5479,35.3962,64.6038,36.889,46.245,1270,1849,46849,85507,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
3,GFP.tif,0.3548,26.1903,73.8097,25.2767,32.9565,1319,2851,33340,93959,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
4,GFP.tif,0.3702,27.0193,72.9807,27.1897,28.7112,2167,5543,58920,159146,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
5,GFP.tif,0.6166,38.1421,61.8579,37.6949,41.8183,1167,1706,43990,71342,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
6,GFP.tif,0.2963,22.8547,77.1453,25.8589,30.734,1913,5433,49468,166978,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
7,GFP.tif,0.3038,23.3012,76.6988,35.6762,35.2601,1047,3487,37353,122952,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
8,GFP.tif,0.7055,41.3652,58.6348,41.2465,38.6355,941,1424,38813,55017,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
9,GFP.tif,0.4211,29.6321,70.3679,28.5261,26.7444,1458,3693,41591,98767,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
10,GFP.tif,1.3333,57.1414,42.8586,40.7154,40.1634,1135,863,46212,34661,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
11,GFP.tif,0.3441,25.6013,74.3987,24.781999999999996,20.6173,1734,6057,42972,124879,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
12,GFP.tif,0.4537,31.2093,68.7907,49.4777,68.3285,1478,2359,73128,161187,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
13,GFP.tif,0.3402,25.386,74.61399999999999,40.611999999999995,48.2944,1304,3223,52958,155653,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
14,GFP.tif,0.391,28.1073,71.8927,9.5262,12.955,1393,2620,13270,33942,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
15,GFP.tif,0.5643,36.0755,63.9245,7.6567,10.3636,1378,1804,10551,18696,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
1,GFP.tif,0.4461,30.8464,69.1536,53.684,61.2629,1212,2381,65065,145867,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
2,GFP.tif,0.4256,29.855,70.145,25.7563,29.9233,2372,4797,61094,143542,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
3,GFP.tif,0.4878,32.7871,67.2129,47.3644,57.3062,1361,2306,64463,132148,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
4,GFP.tif,0.2789,21.8056,78.1944,61.2571,68.8026,1785,5699,109344,392106,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
5,GFP.tif,0.4922,32.9846,67.0154,76.4413,97.9539,1491,2364,113974,231563,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
6,GFP.tif,0.5059,33.5939,66.4061,49.5198,62.2118,1341,2110,66406,131267,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
7,GFP.tif,0.4341,30.2706,69.7294,50.8156,60.818999999999996,1659,3193,84303,194195,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
8,GFP.tif,0.4126,29.2067,70.7933,64.7919,52.1805,1754,5279,113645,275461,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
9,GFP.tif,0.2777,21.7324,78.2676,37.8932,40.271,1816,6154,68814,247828,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
10,GFP.tif,0.257,20.4461,79.5539,83.9894,81.4334,1227,4924,103055,400978,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
1,GFP.tif,0.3671,26.8543,73.1457,32.0785,34.7576,1950,4902,62553,170382,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
2,GFP.tif,0.4707,32.0072,67.9928,18.2103,20.1876,1146,2196,20869,44332,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
3,GFP.tif,0.392,28.1608,71.8392,29.5894,32.6717,2236,5166,66162,168782,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
4,GFP.tif,0.3694,26.9742,73.0258,33.7361,40.9677,1417,3159,47804,129417,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/0h/
