Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C1	1	1	5	346	0	2.092747578
C1	1	2	16	173	0	1.887734556
C1	1	3	46	260	0	1.232262936
C1	1	4	50	281	0	0
C1	1	5	62	356	0	2.983217204
C1	1	6	92	412	0	2.191469788
C1	1	7	120	275	0	1.351586724
C1	1	8	142	211	0	1.946694412
C1	1	9	161	225	0	0
C1	1	10	162	246	0	0
C1	1	11	180	277	0	2.171271072
C1	1	12	279	172	0	0.913807531
C1	1	13	286	177	0	1.111822058
C1	1	14	312	65	0	1.677037739
C1	1	15	333	356	0	1.403505643
C1	1	16	360	87	0	0.83013727
C1	1	17	383	327	0	2.733882253
C1	1	18	448	371	0	2.073651557
C1	1	19	463	24	0	1.400696661
C1	1	20	469	376	0	1.882135582
C1	2	1	56	109	0	2.254412898
C1	2	2	59	96	0	1.83619156
C1	2	3	61	489	0	0
C1	2	4	67	172	0	2.842640717
C1	2	5	72	191	0	0
C1	2	6	73	202	0	0
C1	2	7	74	481	0	0
C1	2	8	76	479	0	1.626283901
C1	2	9	84	384	0	1.762210109
C1	2	10	124	128	0	1.001907826
C1	2	11	138	282	0	3.841237671
C1	2	12	150	113	0	1.27946299
C1	2	13	174	194	0	0.269259288
C1	2	14	216	339	0	2.674171621
C1	2	15	267	286	0	1.398151506
C1	2	16	311	106	0	2.05515054
C1	2	17	327	211	0	1.257004322
C1	2	18	358	87	0	0.993110792
C1	2	19	367	110	0	0
C1	2	20	377	90	0	1.26476916
C1	2	21	420	82	0	1.643992128
C1	2	22	459	34	0	2.143216816
C1	3	1	3	423	0	1.330255504
C1	3	2	16	376	0	0.529456265
C1	3	3	124	292	0	0
C1	3	4	134	325	0	1.085604013
C1	3	5	137	343	0	1.155999786
C1	3	6	167	293	0	1.986952695
C1	3	7	182	318	0	0
C1	3	8	208	246	0	2.165142385
C1	3	9	212	411	0	0.812317447
C1	3	10	213	84	0	0.839969405
C1	3	11	235	16	0	0.911126948
C1	3	12	247	342	0	0.918423887
C1	3	13	262	46	0	0
C1	3	14	266	337	0	0.933263846
C1	3	15	271	211	0	2.527592462
C1	3	16	275	39	0	0
C1	3	17	278	450	0	1.425852677
C1	3	18	387	57	0	0
C1	3	19	464	363	0	1.092495825
C1	3	20	469	8	0	2.271433314
C1	3	21	486	2	0	1.51349163
C1	4	1	24	124	0	0
C1	4	2	29	113	0	1.148573432
C1	4	3	42	181	0	1.476917556
C1	4	4	101	45	0	2.53E-03
C1	4	5	151	251	0	0.972462482
C1	4	6	154	287	0	0
C1	4	7	269	336	0	1.586153467
C1	4	8	315	312	0	1.307532298
C1	4	9	322	118	0	1.620079024
C1	4	10	326	296	0	0.232673805
C1	4	11	328	272	0	0.720536189
C1	4	12	433	297	0	1.024062333
C1	4	13	446	458	0	1.329730923
C1	5	1	60	107	0	0
C1	5	2	89	463	0	0
C1	5	3	95	153	0	1.006414675
C1	5	4	118	404	0	1.07241117
C1	5	5	124	143	0	0
C1	5	6	137	345	0	0.647695596
C1	5	7	141	283	0	1.449164515
C1	5	8	202	343	0	2.906536383
C1	5	9	250	217	0	1.535740179
C1	5	10	255	123	0	0
C1	5	11	275	220	0	1.093088908
C1	5	12	278	119	0	1.299672353
C1	5	13	284	219	0	0.987544703
C1	5	14	291	113	0	2.293632388
C1	5	15	294	216	0	1.101908657
C1	5	16	305	416	0	2.063145192
C1	5	17	334	280	0	0.811662549
C1	5	18	383	368	0	0.992679816
C1	5	19	386	406	0	1.429284308
C1	5	20	429	373	0	1.143003686
C1	5	21	439	446	0	1.193878437
C1	5	22	474	316	0	2.49086685
C1	5	23	474	492	0	1.090198016
C1	5	24	476	468	0	1.322136174
C1	5	25	487	225	0	2.083352212
C1	6	1	12	216	0	0.62777018
C1	6	2	75	246	0	1.278801269
C1	6	3	244	52	0	1.280341083
C1	6	4	265	65	0	0
C1	6	5	296	264	0	0.779262797
C1	6	6	313	256	0	1.096951168
C1	6	7	339	50	0.52	2.556194981
C1	6	8	351	434	0.543010753	0
C1	6	9	355	32	0.610824742	0.900702027
C1	6	10	362	32	1.512	0
C1	6	11	379	49	1.557377049	0
C1	6	12	389	51	1.990825688	0
C1	6	13	413	76	2.452914798	0.957898322
C1	6	14	458	448	3.033898305	1.266243408
C1	6	15	486	21	4.058080808	1.422022287
C1	7	1	106	39	4.284482759	1.404329184
C1	7	2	127	40	4.709677419	1.174628731
C1	7	3	157	64	5.776	2.329579682
C1	7	4	225	354	6.272222222	0.328709576
C1	7	5	239	347	7.276699029	1.819752547
C1	7	6	240	218	7.776371308	1.413245653
C1	7	7	270	300	8.223404255	1.651045323
C1	7	8	273	427	9.494623656	0
C1	7	9	278	457	10.02702703	1.194074
C1	7	10	322	110	14.23	0.131140446
C1	7	11	353	162	16.16580311	0.356241175
C1	7	12	371	182	16.44047619	1.928693035
C1	7	13	420	9	18.12542373	1.287099978
C1	7	14	421	62	20.98586572	1.522846094
C1	7	15	436	56	22.734375	0.844591439
C1	7	16	437	220	22.79809524	0
C1	7	17	438	333	22.9527121	0.668548008
C1	7	18	440	276	22.95967742	3.05E-02
C1	7	19	441	199	23.00234192	1.664653955
C1	7	20	441	228	23.05654762	1.325200021
C1	7	21	444	296	23.24358974	1.00134016
C1	7	22	450	317	23.45614035	0.665304074
C1	7	23	466	223	23.62577963	0.382572984
C1	8	1	6	416	24.21428571	1.721260377
C1	8	2	8	91	24.25433526	2.147734602
C1	8	3	53	287	24.26666667	1.753717769
C1	8	4	92	348	24.28947368	1.649288572
C1	8	5	101	225	25.12621359	1.527008232
C1	8	6	120	346	25.16461366	1.249597432
C1	8	7	122	44	25.19354839	2.810429111
C1	8	8	155	314	25.23636364	1.866119388
C1	8	9	176	94	25.66369048	2.789293654
C1	8	10	183	195	25.69966997	1.218142996
C1	8	11	206	407	25.82374101	2.52537096
C1	8	12	245	11	25.92631579	0.910768161
C1	8	13	251	378	26.4384058	2.334295095
C1	8	14	261	228	26.68421053	3.187592258
C1	8	15	280	386	27.24761905	0
C1	8	16	342	170	27.65384615	4.49031256
C1	8	17	389	227	27.71794872	1.460398511
C1	8	18	422	436	27.76123596	1.509890795
C1	8	19	454	80	27.96721311	2.70773336
C1	8	20	476	309	28.32319392	0
C1	9	1	28	212	28.44666667	3.392453067
C1	9	2	82	139	28.61607143	2.464755692
C1	9	3	95	389	29.05128205	3.512082304
C1	9	4	214	63	29.06938776	2.314278316
C1	9	5	273	351	29.19826087	0.709782131
C1	9	6	309	311	29.27130045	8.17E-02
