Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C3	1	1	22	214	0	1.573598278
C3	1	2	22	248	0	0
C3	1	3	33	264	0	1.186251648
C3	1	4	56	271	0	0.367489357
C3	1	5	59	348	0	1.040005011
C3	1	6	59	385	0	1.064967244
C3	1	7	59	423	0	0
C3	1	8	67	124	0	0.267554845
C3	1	9	100	299	0	0.974765078
C3	1	10	112	303	0	0.842488024
C3	1	11	124	41	0	1.115935056
C3	1	12	155	416	0	1.606120372
C3	1	13	176	234	0	3.477625878
C3	1	14	198	103	0	1.333299152
C3	1	15	207	176	0	0
C3	1	16	213	89	0	1.103168787
C3	1	17	216	69	0	1.199839026
C3	1	18	218	354	0	1.63E-02
C3	1	19	227	325	0	2.12E-02
C3	1	20	329	272	0	1.02806039
C3	1	21	340	311	0	1.054556476
C3	1	22	352	105	0	6.90E-02
C3	1	23	419	60	0	0
C3	1	24	460	61	0	2.53E-03
C3	1	25	502	265	0	0
C3	2	1	27	234	0	0.245579536
C3	2	2	35	459	0	1.470849309
C3	2	3	56	460	0	0.106882734
C3	2	4	65	412	0	1.431922577
C3	2	5	87	409	0	1.18786915
C3	2	6	122	164	0	1.359529732
C3	2	7	130	141	0	1.424782958
C3	2	8	130	285	0	0.259566919
C3	2	9	131	226	0	1.385315762
C3	2	10	145	296	0	1.296558376
C3	2	11	182	341	0	2.164903079
C3	2	12	286	136	0	1.410790114
C3	2	13	325	34	0	1.401660681
C3	2	14	330	293	0	1.223391455
C3	2	15	339	276	0	1.283005168
C3	2	16	370	139	0	0
C3	2	17	371	146	0	8.85E-02
C3	2	18	371	415	0	1.254689581
C3	2	19	371	426	0	1.440555704
C3	2	20	372	406	0	0
C3	2	21	373	125	0	2.153583729
C3	2	22	373	362	0	1.292929293
C3	2	23	375	385	0	1.31124831
C3	2	24	387	83	0	0.170798817
C3	2	25	388	435	0	0.687117638
C3	3	1	16	164	0	2.088705993
C3	3	2	20	115	0	0.720226394
C3	3	3	22	358	0	0
C3	3	4	27	238	0	1.251794241
C3	3	5	41	75	0	2.360157582
C3	3	6	44	283	0	0.777014294
C3	3	7	47	273	0	0.762418175
C3	3	8	49	256	0	0.826595497
C3	3	9	65	335	0	1.887182387
C3	3	10	114	296	0	0.370475497
C3	3	11	127	51	0	1.390920244
C3	3	12	130	25	0	1.791959839
C3	3	13	150	29	0	1.26E-02
C3	3	14	166	206	0	0.41027252
C3	3	15	166	313	0	2.073994133
C3	3	16	168	251	0	0.33957676
C3	3	17	172	264	0	1.89723686
C3	3	18	176	134	0	1.264600672
C3	3	19	179	163	0	1.144139922
C3	3	20	179	441	0	1.297347771
C3	3	21	180	153	0	1.067664306
C3	3	22	180	463	0	1.154338194
C3	3	23	183	25	0	1.344387755
C3	3	24	185	286	0	0
C3	3	25	194	21	0	0
C3	3	26	194	127	0	0.484608199
C3	3	27	194	375	0	2.853736767
C3	3	28	197	108	0	2.339535986
C3	3	29	200	2	0	1.062643413
C3	3	30	207	198	0	1.751458902
C3	3	31	303	356	0	1.351544195
C3	3	32	329	479	0	0
C3	3	33	341	210	0	1.376506508
C3	3	34	341	403	0	1.216115977
C3	3	35	342	424	0	1.237554334
C3	3	36	346	239	0	1.072659411
C3	3	37	436	411	0	2.562466047
C3	3	38	450	214	0	2.48860773
C3	3	39	457	29	0	1.58111025
C3	3	40	472	355	0	2.770441116
C3	3	41	483	234	0	2.14859521
C3	4	1	13	27	0	0.345877628
C3	4	2	63	79	0	2.131304828
C3	4	3	84	409	0	2.052869099
C3	4	4	99	281	0	3.837816617
C3	4	5	131	98	0	0.972255908
C3	4	6	163	396	0	0.581027227
C3	4	7	197	399	0	0.262724355
C3	4	8	203	440	0	3.160602722
C3	4	9	208	197	0	2.350851933
C3	4	10	218	95	0	1.721540069
C3	4	11	294	378	0	1.155911789
C3	4	12	335	472	0	1.588079004
C3	4	13	346	243	0	1.185645983
C3	4	14	348	236	0	0
C3	4	15	350	213	0	0.983298282
C3	4	16	370	203	0	0.874605353
C3	4	17	408	129	0	2.048114099
C3	4	18	409	168	0	1.238764045
C3	4	19	422	158	0	1.167255516
C3	4	20	426	123	0	1.542189816
C3	4	21	449	374	0	1.139282241
C3	4	22	466	34	0	2.036105994
C3	4	23	481	78	0	3.120589083
C3	5	1	23	304	0	1.305692601
C3	5	2	47	311	0	0.852464433
C3	5	3	73	399	0	2.989615997
C3	5	4	81	103	0	1.542236192
C3	5	5	94	212	0	1.507640906
C3	5	6	107	471	0	1.4999095
C3	5	7	109	490	0.188328912	1.790736306
C3	5	8	154	142	2.042424242	1.405493069
C3	5	9	162	210	2.130434783	2.497641276
C3	5	10	180	75	3.083333333	2.104534388
C3	5	11	206	395	3.5	2.231644109
C3	5	12	228	209	4.126520681	1.222500927
C3	5	13	244	157	4.182170543	2.16861508
C3	5	14	252	190	4.182524272	1.716836514
C3	5	15	255	177	4.347826087	1.676297228
C3	5	16	276	331	4.869918699	2.86168172
C3	5	17	279	236	7.127853881	0.937225793
C3	5	18	315	182	7.2	6.78E-02
C3	5	19	316	224	7.373873874	0
C3	5	20	321	231	8.53220339	1.334703388
C3	5	21	380	171	8.591549296	0
C3	5	22	386	426	9.381818182	1.386953726
C3	5	23	393	168	9.482758621	0
C3	5	24	401	415	9.916167665	0.124141103
C3	5	25	414	26	10.1038961	0
C3	5	26	418	20	11.39473684	0
C3	5	27	426	11	12.05555556	0
C3	5	28	444	369	12.20652174	1.527386769
C3	5	29	446	119	13.10810811	1.468639938
C3	5	30	456	205	14.16	2.979692757
C3	5	31	469	85	14.59533074	1.396688336
C3	5	32	472	249	15.39344262	3.82E-02
C3	5	33	476	268	15.56179775	1.778452431
C3	6	1	9	175	18.71428571	1.759367108
C3	6	2	43	271	19.47217538	0.80887611
C3	6	3	84	301	19.99615385	1.580820034
C3	6	4	86	52	20.01162791	1.740513696
C3	6	5	86	241	20.1984127	2.780089811
C3	6	6	104	425	20.53369272	1.416115304
C3	6	7	114	244	20.53784861	2.054473458
C3	6	8	126	361	20.57725948	1.400179856
C3	6	9	150	271	21.30327869	2.28673581
C3	6	10	151	171	21.53785901	1.802344539
C3	6	11	202	302	21.76548673	1.327452361
C3	6	12	213	244	21.7680798	1.489648113
C3	6	13	241	415	22.0866426	1.478206493
C3	6	14	243	274	22.37946429	1.159846593
C3	6	15	254	97	22.75172414	1.318880288
C3	6	16	258	412	22.87623762	1.28432592
C3	6	17	263	270	24.06707317	0.537815478
C3	6	18	288	222	24.30136986	0.032783177
C3	6	19	313	184	24.42857143	0.664029325
C3	6	20	343	269	24.4375	0.522181475
C3	6	21	362	39	24.58311346	1.345856025
C3	6	22	382	386	24.63636364	1.542427988
C3	6	23	404	389	24.70697674	1.385138968
C3	6	24	419	210	25.1	0
C3	6	25	420	209	25.10194903	2.15915384
C3	6	26	431	231	25.15189873	1.010041795
C3	6	27	446	366	25.16071429	2.128846124
C3	6	28	447	47	25.20361991	6.20E-02
C3	6	29	480	22	25.30434783	1.002190221
C3	6	30	488	475	25.3256705	0
C3	6	31	504	483	25.36363636	0
C3	7	1	12	262	25.53623188	1.851289306
C3	7	2	31	225	25.5962963	1.158735071
C3	7	3	67	302	25.83663366	1.433345622
