Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
B1	1	1	4	51	1.89809121423822	
B1	1	2	6	464	1.66662651426242	
B1	1	3	8	251	2.10402476780186	
B1	1	4	12	318	2.31800666812418	
B1	1	5	20	336	2.26180234385524	
B1	1	6	21	85	2.32206812692969	
B1	1	7	21	128	2.13906104235974	
B1	1	8	48	390	2.02221193423653	
B1	1	9	51	234	1.6520429140969	
B1	1	10	59	312	2.49449669459848	
B1	1	11	63	138	2.38234532241034	
B1	1	12	64	69	1.53506820079193	
B1	1	13	69	431	1.58192307108666	
B1	1	14	73	237	1.56537302700738	
B1	1	15	78	371	2.12238993928404	
B1	1	16	96	154	0.516950562246324	
B1	1	17	97	3	2.27047653825087	
B1	1	18	101	274	0.660950993958104	
B1	1	19	108	53	1.80227464809256	
B1	1	20	122	86	1.85462805447087	
B1	1	21	129	364	1.46304154649875	
B1	1	22	133	344	1.70980318351924	
B1	1	23	134	159	2.05774177557933	
B1	1	24	144	210	2.19196115743643	
B1	1	25	147	279	1.641649991155	
B1	1	26	160	114	2.30221234311754	
B1	1	27	180	48	0.961686638267794	
B1	1	28	205	160	2.49474948032399	
B1	1	29	209	258	1.47090312601581	
B1	1	30	209	403	1.73423734656366	
B1	1	31	210	420	2.03979032692355	
B1	1	32	211	317	1.59536297088682	
B1	1	33	226	79	2.150789012899	
B1	1	34	226	317	1.89891571824054	
B1	1	35	231	117	1.27977961435537	
B1	1	36	244	362	1.09214149831605	
B1	1	37	246	380	1.3237936354679	
B1	1	38	251	231	1.94385105315595	
B1	1	39	253	153	2.32189142412618	
B1	1	40	253	450	1.86044312766642	
B1	1	41	269	307	2.25098918041058	
B1	1	42	279	58	1.38859557539201	
B1	1	43	301	126	1.80532108977441	
B1	1	44	301	404	1.68022284834052	
B1	1	45	305	324	1.43796041667409	
B1	1	46	318	216	2.23903496891365	
B1	1	47	320	25	1.97714529899281	
B1	1	48	325	270	2.05363880517117	
B1	1	49	326	139	1.41685671073349	
B1	1	50	350	87	1.40365261716638	
B1	1	51	350	471	1.88217420498626	
B1	1	52	359	378	1.67750479060681	
B1	1	53	368	167	1.78334926980675	
B1	1	54	379	7	1.62734043690804	
B1	1	55	389	371	1.16302616202947	
B1	1	56	400	3	1.74509808319263	
B1	1	57	404	79	1.22942367547789	
B1	1	58	410	105	1.72807439474106	
B1	1	59	413	406	1.84984653533545	
B1	1	60	415	242	2.43272544236652	
B1	1	61	417	49	2.32215802824828	
B1	1	62	417	345	1.86110026635107	
B1	1	63	423	283	2.1589879857299	
B1	1	64	427	468	1.91396509717294	
B1	1	65	432	350	1.43563341047184	
B1	1	66	447	470	1.861652222551	
B1	1	67	451	71	1.14190155857974	
B1	1	68	460	389	1.07152098350552	
B1	1	69	462	146	1.46503812693247	
B1	1	70	468	183	1.31372763001427	
B1	2	1	22	56	1.72229569460203	
B1	2	2	54	11	1.42335321151668	
B1	2	3	57	433	1.32610869316916	
B1	2	4	80	474	2.15741994498349	
B1	2	5	87	132	1.69632988108721	
B1	2	6	100	39	1.59358828668458	
B1	2	7	102	335	1.68031027236526	
B1	2	8	115	237	1.33004739799658	
B1	2	9	118	255	1.53714457155728	
B1	2	10	129	96	2.10573276836533	
B1	2	11	137	407	2.18571121427876	
B1	2	12	145	27	1.88196632274575	
B1	2	13	158	152	2.08173707204239	
B1	2	14	162	372	1.40303599621549	
B1	2	15	166	202	1.15531712783752	
