Well	Field	Cell Number	Top	Left	CircRingAvgIntenRatioCh2	
B2	1	1	2	208	1.61126545929841	
B2	1	2	7	411	1.98972763878644	
B2	1	3	11	365	0.634188860374519	
B2	1	4	12	51	1.59174287531071	
B2	1	5	26	222	0.592118012926051	
B2	1	6	34	154	1.7571512511775	
B2	1	7	44	132	1.75423284805697	
B2	1	8	47	269	1.44212294254073	
B2	1	9	54	79	1.82623825316058	
B2	1	10	56	303	1.19009108504014	
B2	1	11	58	36	1.6001486006648	
B2	1	12	58	373	0.793080548524535	
B2	1	13	69	235	0.517250840101615	
B2	1	14	74	457	1.17636842117677	
B2	1	15	92	137	2.04923599956568	
B2	1	16	98	419	2.15510028016383	
B2	1	17	104	357	1.970293917241	
B2	1	18	108	324	3.74825831370547E-02	
B2	1	19	114	233	1.95453259143369	
B2	1	20	121	70	1.34491248011476	
B2	1	21	122	458	1.49277722915362	
B2	1	22	128	52	1.8423634208249	
B2	1	23	130	444	2.13486098819893	
B2	1	24	140	189	0.239577863093358	
B2	1	25	145	371	1.51477618651382	
B2	1	26	152	117	0.827583767893512	
B2	1	27	166	224	1.65652553565939	
B2	1	28	170	62	0.715259385563119	
B2	1	29	170	412	1.72751338230504	
B2	1	30	177	249	1.56009812807149	
B2	1	31	191	306	1.0792667327324	
B2	1	32	191	359	1.78247829257669	
B2	1	33	201	44	1.4458095482553	
B2	1	34	202	193	1.40746148626468	
B2	1	35	216	120	1.56152494990079	
B2	1	36	218	292	1.16956793095994	
B2	1	37	221	244	1.66586924927011	
B2	1	38	228	420	1.89643648753612	
B2	1	39	237	70	2.235607222395	
B2	1	40	237	176	0.63156395740895	
B2	1	41	253	477	1.9974693703393	
B2	1	42	259	355	2.15770826979217	
B2	1	43	272	32	1.95070693989532	
B2	1	44	279	157	1.4278736450936	
B2	1	45	280	234	0.460904517309316	
B2	1	46	290	290	1.65647364305861	
B2	1	47	290	339	1.52601092496258	
B2	1	48	293	416	1.35678401612744	
B2	1	49	299	77	1.75338557134488	
B2	1	50	300	431	1.42809345788046	
B2	1	51	312	4	1.40776622665658	
B2	1	52	315	164	0.731711728510162	
B2	1	53	327	398	0.626708560969437	
B2	1	54	332	351	1.00282896291047	
B2	1	55	344	176	1.95409610853076	
B2	1	56	345	254	1.56038552363377	
B2	1	57	346	284	1.24304045104925	
B2	1	58	350	456	1.27944163042959	
B2	1	59	354	116	2.05516282700184	
B2	1	60	368	78	1.59236877504951	
B2	1	61	374	192	0.954248730896528	
B2	1	62	376	39	0.715807960989611	
B2	1	63	379	377	1.70143091060229	
B2	1	64	387	329	1.07446870055552	
B2	1	65	391	422	2.73056578742354	
B2	1	66	392	264	2.6575586509338	
B2	1	67	400	140	1.81230457265558	
B2	1	68	400	463	1.6841621253438	
B2	1	69	429	199	1.79384065498118	
B2	1	70	430	45	1.4636360188065	
B2	1	71	437	291	1.27476609921109	
B2	1	72	453	467	2.78700887614443	
B2	1	73	457	366	1.65609568247992	
B2	1	74	464	421	1.87405271299426	
B2	1	75	474	169	1.68425600557735	
B2	2	1	10	329	0.932171263462702	
B2	2	2	12	171	2.0689863932636	
B2	2	3	18	67	2.52872851089204	
