Distance_(pixels),Gray_Value
0,4.000
1,2.384
2,0.184
3,0.000
4,1.327
5,1.560
6,2.689
7,3.000
8,3.909
9,6.434
10,12.673
11,26.742
12,47.032
13,65.142
14,72.751
15,73.487
16,78.408
17,82.200
18,85.677
19,88.164
20,97.076
21,110.531
22,122.325
23,133.500
24,135.476
25,132.314
26,132.129
27,132.349
28,133.529
29,140.865
30,144.139
31,147.021
32,155.452
33,164.485
34,161.445
35,152.276
36,161.550
37,166.556
38,156.313
39,150.416
40,141.730
41,143.980
42,159.999
43,178.421
44,188.274
45,194.429
46,202.500
47,208.868
48,201.456
49,168.623
50,147.417
51,130.387
52,120.495
53,115.279
54,111.613
55,113.198
56,110.958
57,103.950
58,99.310
59,92.770
60,90.645
61,96.355
62,104.288
63,110.185
64,107.529
65,106.187
66,110.285
67,118.747
68,132.892
69,143.750
70,141.577
71,134.815
72,112.055
73,93.150
74,78.845
75,73.011
76,66.397
77,58.040
78,52.000
79,47.613
80,43.057
81,38.154
82,32.751
83,26.099
84,20.732
85,17.293
86,14.029
87,8.543
88,4.435
89,0.841
90,0.310
91,0.000
92,0.000
