Distance_(pixels),Gray_Value
0,27.000
1,27.311
2,27.277
3,27.022
4,29.416
5,30.755
6,31.805
7,34.034
8,37.870
9,44.499
10,58.641
11,82.683
12,109.210
13,124.131
14,123.307
15,113.107
16,107.189
17,107.352
18,112.677
19,115.164
20,124.552
21,135.802
22,141.798
23,149.750
24,147.274
25,136.336
26,128.822
27,126.245
28,129.312
29,139.680
30,144.469
31,146.223
32,154.660
33,163.506
34,158.556
35,148.202
36,158.652
37,159.353
38,145.512
39,140.604
40,136.599
41,146.069
42,168.236
43,187.476
44,197.578
45,206.645
46,218.500
47,223.715
48,212.391
49,177.000
50,155.637
51,139.843
52,132.002
53,128.910
54,127.697
55,127.284
56,120.860
57,110.657
58,104.549
59,98.248
60,97.096
61,103.931
62,112.586
63,118.678
64,116.567
65,116.265
66,122.388
67,135.725
68,154.690
69,166.375
70,163.014
71,149.520
72,118.739
73,95.118
74,81.622
75,78.252
76,73.197
77,66.948
78,61.109
79,57.134
80,54.509
81,50.320
82,45.838
83,40.359
84,35.163
85,32.405
86,30.681
87,26.815
88,24.087
89,22.351
90,19.055
91,16.182
92,14.000
