Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,13.909
24,30.000
25,32.409
26,36.000
27,44.155
28,50.127
29,55.845
30,57.000
31,56.973
32,58.036
33,56.200
34,65.164
35,72.909
36,90.764
37,95.764
38,86.018
39,75.482
40,77.000
41,74.782
42,80.309
43,98.055
44,157.200
45,183.136
46,187.145
47,138.127
48,103.236
49,99.936
50,105.909
51,125.000
52,129.618
53,123.727
54,128.855
55,127.000
56,125.855
57,136.727
58,180.000
59,189.264
60,187.636
61,161.573
62,137.291
63,122.045
64,135.418
65,180.364
66,196.600
67,213.727
68,219.455
69,218.745
70,223.091
71,223.927
72,214.091
73,160.745
74,87.000
75,68.091
76,61.182
77,55.800
78,54.855
79,57.864
80,50.909
81,47.845
82,46.345
83,46.127
84,47.345
85,47.000
86,51.636
87,57.345
88,41.200
89,36.336
90,37.091
91,39.627
92,42.291
93,41.327
94,42.091
95,43.955
96,43.000
97,46.000
98,45.764
99,43.600
100,42.636
101,40.855
102,41.000
103,40.000
104,40.000
105,38.636
106,39.255
107,37.382
108,37.873
109,37.000
110,36.000
