Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,4.636
24,9.527
25,9.000
26,10.655
27,13.718
28,16.564
29,19.000
30,20.182
31,23.973
32,27.036
33,27.200
34,40.164
35,54.045
36,75.509
37,79.891
38,66.109
39,51.482
40,48.364
41,45.909
42,63.927
43,105.427
44,182.800
45,223.727
46,217.855
47,140.082
48,85.182
49,73.291
50,77.545
51,104.455
52,117.018
53,119.573
54,131.036
55,132.000
56,142.655
57,174.591
58,231.618
59,244.509
60,235.364
61,188.564
62,153.091
63,135.109
64,157.636
65,222.500
66,244.200
67,251.309
68,250.418
69,249.918
70,250.455
71,248.482
72,230.255
73,160.391
74,74.709
75,47.864
76,37.018
77,30.700
78,28.855
79,33.809
80,24.818
81,18.845
82,17.345
83,16.282
84,17.309
85,21.182
86,28.218
87,34.345
88,18.200
89,11.327
90,9.545
91,9.000
92,9.145
93,8.245
94,9.073
95,9.955
96,9.000
97,9.000
98,9.473
99,8.600
100,7.636
101,7.855
102,8.000
103,10.000
104,10.000
105,9.318
106,10.000
107,8.000
108,6.873
109,6.000
110,7.000
