n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.2985,22.9891,77.0109,80.7273,49.0063,2057,11351,166056,556270,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
2,GFP.tif,0.4928,33.0109,66.9891,63.6495,23.8227,2394,12980,152377,309219,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
3,GFP.tif,0.2014,16.7653,83.2347,129.2127,95.4309,3531,23736,456250,2265148,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
4,GFP.tif,0.2817,21.9787,78.0213,50.6477,39.0423,2251,10366,114008,404713,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
5,GFP.tif,0.3481,25.8242,74.1758,63.8065,39.0905,2067,9691,131888,378826,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
6,GFP.tif,0.6036,37.6392,62.3608,64.316,58.5408,2943,5357,189282,313603,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
7,GFP.tif,0.6575,39.667,60.333,100.777,90.471,2489,4217,250834,381516,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
8,GFP.tif,0.5906,37.1301,62.8699,33.0613,16.6929,1533,5141,50683,85818,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
9,GFP.tif,0.2677,21.1189,78.8811,135.5624,147.6858,1531,5249,207546,775203,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
10,GFP.tif,0.5447,35.2634,64.7366,40.6968,17.3148,2493,10757,101457,186255,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
11,GFP.tif,0.3458,25.6961,74.3039,63.6346,33.0907,1869,10393,118933,343912,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
12,GFP.tif,0.3532,26.1005,73.8995,83.5231,53.4397,1625,7191,135725,384285,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
13,GFP.tif,0.8267,45.2557,54.7443,101.9379,55.5957,1289,2859,131398,158948,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
14,GFP.tif,0.5211,34.259,65.741,34.383,16.2831,2154,8728,74061,142119,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
15,GFP.tif,0.5002,33.3434,66.6566,43.6071,29.8235,1260,3683,54945,109840,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
16,GFP.tif,0.6177,38.1834,61.8166,97.7236,83.2078,1541,2930,150592,243799,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
17,GFP.tif,0.337,25.2043,74.7957,45.8416,28.4777,1749,8355,80177,237931,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
18,GFP.tif,0.374,27.2187,72.7813,80.5372,67.2158,927,2970,74658,199631,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
19,GFP.tif,0.4837,32.5991,67.4009,26.4066,17.7891,1692,5193,44680,92379,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
20,GFP.tif,0.4492,30.9982,69.0018,26.1077,13.9772,1913,7954,49944,111175,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
21,GFP.tif,0.3853,27.8114,72.1886,74.0895,34.3084,2468,13834,182853,474622,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
22,GFP.tif,0.3161,24.0152,75.9848,147.1644,80.4983,1113,6438,163794,518248,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
23,GFP.tif,0.2361,19.1024,80.8976,52.6824,27.2716,1691,13834,89086,377275,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
24,GFP.tif,0.4855,32.6818,67.3182,37.7837,17.9287,1845,8009,69711,143591,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/30min/
